Brand,Type,Finish,Color Name,Color Code,Total Weight (g),Weight Remaining (g),Quantity,Spool Type,Spool Material,Reusable Spool,Diameter (mm),Location,Notes,Date Added,Purchase Price Per Kg
Bambu Lab,PLA,Matte,Charcoal,#121212,1000,1000,1,spool,plastic,Yes,1.75,Shelf A,Color : Matte Charcoal (11101),02/16/2026,149
Bambu Lab,PLA,CF,Lava Gray,#6b7280,1000,1000,1,spool,plastic,Yes,1.75,Shelf A,Color : Lava Gray (14101),02/16/2026,149
Bambu Lab,PLA,CF,Jeans Blue,#6ea8ff,1000,1000,1,spool,plastic,Yes,1.75,Shelf B,Color : Jeans Blue (14600),02/16/2026,149
Bambu Lab,PLA,CF,Burgundy Red,#7f1d1d,1000,1000,1,spool,plastic,Yes,1.75,Shelf A,Color : Burgundy Red (14200),02/16/2026,149
Bambu Lab,ASA,,Gray,#9ca3af,1000,1000,1,spool,plastic,Yes,1.75,Shelf C,Color : Gray (45102),02/16/2026,149
Bambu Lab,PLA,Silk,Gold,#f59e0b,1000,766,1,spool,plastic,Yes,1.75,Shelf D,Color : Gold (13405),02/16/2026,149
Polymaker,PLA,High Temperature,Gradient Ice,#95C5D3,1000,813,1,spool,cardboard,No,1.75,Box 1,SKU: PA17013,02/16/2026,199
Bambu Lab,PLA,Wood,Black Walnut,#4F3F24,1000,749,1,spool,plastic,Yes,1.75,Shelf E,Color : Black Walnut (13107),02/16/2026,149
Polymaker,PLA,Matte,Army Blue,#2e4462,1000,1000,1,spool,cardboard,No,1.75,Box 2,SKU: CA04008,02/16/2026,199
Bambu Lab,PLA,Wood,White Oak,#D6CCA3,1000,724,1,spool,plastic,Yes,1.75,Shelf E,Color : White Oak (13106),02/16/2026,149
Polymaker,PLA,Matte,Charcoal Black,#2f2e30,1000,1328,2,spool,cardboard,No,1.75,Box 2,SKU: CA04015,02/16/2026,199
Bambu Lab,PLA,Silk,Silver,#C8C8C8,1000,1000,1,spool,plastic,Yes,1.75,Shelf D,Color : Silver (13109),02/16/2026,149
Bambu Lab,PLA,CF,Matcha Green,#5C9748,1000,330,1,spool,plastic,Yes,1.75,Shelf F,Color : Matcha Green (14500),02/16/2026,149
Bambu Lab,PLA,,Bright Green,#BECF00,1000,918,1,spool,plastic,Yes,1.75,Shelf F,Color : Bright Green (10503),02/16/2026,149
Bambu Lab,PLA,Glow,Glow Green,#A1FFAC,1000,816,1,spool,plastic,Yes,1.75,Shelf F,Color : Glow Green (15500),02/16/2026,149
Bambu Lab,PLA,,Sunflower Yellow,#FEC600,1000,690,1,spool,plastic,Yes,1.75,Shelf G,Color : Sunflower Yellow (10402),02/16/2026,149
Bambu Lab,PLA,Gradient,Cotton Candy Cloud,#8EC9E9,1000,634,1,spool,plastic,Yes,1.75,Shelf H,Color : Cotton Candy Cloud (10907),02/16/2026,149
Polymaker,PLA,Matte,Sky Blue,#1AC5FC,1000,844,1,spool,plastic,Yes,1.75,Box 1,SKU: CA04001,02/16/2026,199
Polymaker,PLA,Matte,Arctic Teal,#61bcc3,1000,1000,1,spool,cardboard,No,1.75,Box 1,SKU: CA04006,02/16/2026,199
Bambu Lab,PETG,,White,#FFFFFF,1000,1000,1,spool,plastic,Yes,1.75,Shelf I,Color : White (33100),02/16/2026,149
Bambu Lab,PLA,Translucent,Translucent Blue,#0047BB,1000,1000,1,spool,plastic,Yes,1.75,Shelf J,Color : Blue (13611),02/16/2026,149
Bambu Lab,PLA,,Bambu Green,#00AE42,1000,1000,1,spool,plastic,Yes,1.75,Shelf F,Color : Bambu Green (10501),02/16/2026,149
Bambu Lab,PLA,Matte,Ash Gray,#9b9ea0,1000,1886,2,spool,plastic,Yes,1.75,Shelf K,Color : Matte Ash Gray (11102),02/16/2026,149
Bambu Lab,PLA,,Pumpkin Orange,#FF9016,1000,907,1,spool,plastic,Yes,1.75,Shelf G,Color : Pumpkin Orange (10301),02/16/2026,149
Bambu Lab,PLA,Marble,White Marble,#F7F3F0,1000,206,1,spool,plastic,Yes,1.75,Shelf L,Color : White Marble (13103),02/16/2026,149
Polymaker,PETG,,Black,#070908,1000,2000,2,spool,cardboard,No,1.75,Box 3,SKU: PB05001,02/16/2026,199
Bambu Lab,PLA,Matte,Bone White,#cbc6b8,1000,1000,1,refill,none,No,1.75,Box 4,Color : Matte Bone White (11103),02/16/2026,149
Bambu Lab,PLA,Silk,White,#ffffff,1000,1000,1,refill,none,No,1.75,Box 4,Color : White (13110),02/16/2026,149
Bambu Lab,PLA,Matte,Latte Brown,#d3b7a7,1000,1000,1,refill,none,No,1.75,Box 4,Color : Matte Latte Brown (11800),02/16/2026,149
Bambu Lab,PLA,Matte,Nardo Gray,#757575,1000,1000,1,refill,none,No,1.75,Box 5,Color : Matte Nardo Gray (11104),02/16/2026,149
Bambu Lab,PLA,,Red,#C12e1f,1000,1000,1,refill,none,No,1.75,Box 5,Color : Red (10200),02/16/2026,149
Bambu Lab,PLA,Matte,Dark Red,#bb3d43,1000,1000,1,refill,none,No,1.75,Box 5,Color : Matte Dark Red (11202),02/16/2026,149
Bambu Lab,PLA,Matte,Dark Green,#68724d,1000,2000,2,refill,none,No,1.75,Box 6,Color : Matte Dark Green (11501),02/16/2026,149
Bambu Lab,PLA,Matte,Plum,#950051,1000,2253,3,refill,none,No,1.75,Box 6,Color : Matte Plum (11204),02/16/2026,149
Bambu Lab,PLA,Matte,Desert Tan,#e8dbb7,1000,2000,2,refill,none,No,1.75,Box 7,Color : Matte Desert Tan (11401),02/16/2026,149
Bambu Lab,PLA,Matte,Dark Blue,#042f56,1000,1000,1,refill,none,No,1.75,Box 7,Color : Matte Dark Blue (11602),02/16/2026,149
Bambu Lab,PLA,Matte,Marine Blue,#0078bf,1000,2992,3,refill,none,Yes,1.75,Box 8,Color : Matte Marine Blue (11600),02/16/2026,149
Bambu Lab,PLA,Matte,Lilac Purple,#AE96D4,1000,1000,1,refill,none,No,1.75,Box 8,Color : Matte Lilac purple (11700),02/16/2026,149
Bambu Lab,PLA,Matte,Ivory White,#FFFFFF,1000,2388,3,spool,plastic,Yes,1.75,Shelf M,Color : Matte Ivory White (11100),02/16/2026,149
Bambu Lab,PLA,Matte,Sky Blue,#56B7E6,1000,1000,1,refill,none,No,1.75,Box 9,Color : Matte Sky Blue (11603),02/16/2026,149
